X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.470042,43.787211,80931233,7000036465,2017,2017-01-07T05:00:00.000Z,16,0,DUFFERIN ST,STEELES AVE W, ,Major Arterial,North York,43.787211,-79.470042,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,20 to 24,None,0,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,32,,,34,,11
-79.470042,43.787211,80931234,7000036465,2017,2017-01-07T05:00:00.000Z,16,0,DUFFERIN ST,STEELES AVE W, ,Major Arterial,North York,43.787211,-79.470042,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,65 to 69,Major,0,North,Pick Up Truck,Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,32,,,34,,12
-79.470042,43.787211,80931235,7000036465,2017,2017-01-07T05:00:00.000Z,16,0,DUFFERIN ST,STEELES AVE W, ,Major Arterial,North York,43.787211,-79.470042,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,35 to 39,Minimal,0,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08", , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,32,,,34,,13
-79.300746,43.761183,80563132,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,20 to 24,Minor,0,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,14
-79.300746,43.761183,80563133,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,75 to 79,Minor,0,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Inattentive, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,15
-79.300746,43.761183,80563134,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,30 to 34,None,0,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,16
-79.300746,43.761183,80563135,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,Minor,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,17
-79.300746,43.761183,80563136,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,65 to 69,Minor,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,18
-79.300746,43.761183,80563137,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,65 to 69,Major,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,19
-79.300746,43.761183,80563138,6001066822,2016,2016-06-19T04:00:00.000Z,20,0,ELLESMERE RD,WARDEN AVE, ,Major Arterial,Scarborough,43.761183,-79.300746,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,119,,20
-79.53622,43.753218,80877058,8000722475,2018,2018-04-23T04:00:00.000Z,20,0,FINCH AVE W,SIGNET DR, ,Major Arterial,Etobicoke York,43.753218,-79.53622,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Driver,15 to 19,Minor,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes, , ,31,,,22,,21
-79.53622,43.753218,80877059,8000722475,2018,2018-04-23T04:00:00.000Z,20,0,FINCH AVE W,SIGNET DR, ,Major Arterial,Etobicoke York,43.753218,-79.53622,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Driver,55 to 59,None,0,Unknown,"Automobile, Station Wagon", , , , , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes, , ,31,,,22,,22
-79.53622,43.753218,80877067,8000722475,2018,2018-04-23T04:00:00.000Z,20,0,FINCH AVE W,SIGNET DR, ,Major Arterial,Etobicoke York,43.753218,-79.53622,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Driver,40 to 44,Fatal,21,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes, , ,31,,,22,,23
-79.28109,43.765745,5233038,1101613,2009,2009-04-28T04:00:00.000Z,24,0,ELLESMERE RD,KENNEDY RD, ,Major Arterial,Scarborough,43.765745,-79.28109,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,126,,24
-79.28109,43.765745,5233039,1101613,2009,2009-04-28T04:00:00.000Z,24,0,ELLESMERE RD,KENNEDY RD, ,Major Arterial,Scarborough,43.765745,-79.28109,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,126,,25
-79.28109,43.765745,5233040,1101613,2009,2009-04-28T04:00:00.000Z,24,0,ELLESMERE RD,KENNEDY RD, ,Major Arterial,Scarborough,43.765745,-79.28109,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,126,,26
-79.28109,43.765745,5233041,1101613,2009,2009-04-28T04:00:00.000Z,24,0,ELLESMERE RD,KENNEDY RD, ,Major Arterial,Scarborough,43.765745,-79.28109,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,20 to 24,Minimal,0,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,41,,,126,,27
-79.235263,43.757712,80488133,5001405584,2015,2015-08-16T04:00:00.000Z,42,0,BELLAMY RD N,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.757712,-79.235263,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Driver,20 to 24,Major,0,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,43,,,137,,28
-79.235263,43.757712,80488134,5001405584,2015,2015-08-16T04:00:00.000Z,42,0,BELLAMY RD N,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.757712,-79.235263,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Driver,50 to 54,Minor,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,43,,,137,,29
-79.235263,43.757712,80488135,5001405584,2015,2015-08-16T04:00:00.000Z,42,0,BELLAMY RD N,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.757712,-79.235263,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Driver,45 to 49,Minimal,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,43,,,137,,30
-79.235263,43.757712,80488136,5001405584,2015,2015-08-16T04:00:00.000Z,42,0,BELLAMY RD N,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.757712,-79.235263,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Passenger,25 to 29,Fatal,38, , , , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,43,,,137,,31
-79.235263,43.757712,80488137,5001405584,2015,2015-08-16T04:00:00.000Z,42,0,BELLAMY RD N,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.757712,-79.235263,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Passenger,20 to 24,Minimal,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,43,,,137,,32
-79.14622,43.798911,80502841,6000501397,2016,2016-03-24T04:00:00.000Z,42,0,KINGSTON RD,SHEPPARD AVE E, ,Major Arterial,Scarborough,43.798911,-79.14622,Intersection,At Intersection,Traffic Signal,Freezing Rain,"Dark, artificial",Slush,Non-Fatal Injury,Angle,Driver,25 to 29,Minor,0,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08", , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,42,,,133,,33
-79.14622,43.798911,80502842,6000501397,2016,2016-03-24T04:00:00.000Z,42,0,KINGSTON RD,SHEPPARD AVE E, ,Major Arterial,Scarborough,43.798911,-79.14622,Intersection,At Intersection,Traffic Signal,Freezing Rain,"Dark, artificial",Slush,Non-Fatal Injury,Angle,Driver,50 to 54,Major,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,42,,,133,,34
-79.241756,43.774325,7536183,1340006,2012,2012-12-16T05:00:00.000Z,50,0,ELLESMERE Rd,BELLAMY Rd N, ,Major Arterial,Scarborough,43.774325,-79.241756,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Passenger,20 to 24,Minor,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,43,,,137,,35
-79.241756,43.774325,7536184,1340006,2012,2012-12-16T05:00:00.000Z,50,0,ELLESMERE Rd,BELLAMY Rd N, ,Major Arterial,Scarborough,43.774325,-79.241756,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Driver,50 to 54,Major,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,43,,,137,,36
-79.241756,43.774325,7536185,1340006,2012,2012-12-16T05:00:00.000Z,50,0,ELLESMERE Rd,BELLAMY Rd N, ,Major Arterial,Scarborough,43.774325,-79.241756,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Other Property Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,43,,,137,,37
-79.241756,43.774325,7536186,1340006,2012,2012-12-16T05:00:00.000Z,50,0,ELLESMERE Rd,BELLAMY Rd N, ,Major Arterial,Scarborough,43.774325,-79.241756,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,43,,,137,,38
-79.241756,43.774325,7536187,1340006,2012,2012-12-16T05:00:00.000Z,50,0,ELLESMERE Rd,BELLAMY Rd N, ,Major Arterial,Scarborough,43.774325,-79.241756,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Driver,15 to 19,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,43,,,137,,39
-79.568614,43.746237,80216232,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Major,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive, , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,40
-79.568614,43.746237,80216233,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,35 to 39,None,0,East,"Bus (Other) (Go Bus, Gray Coach)",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,41
-79.568614,43.746237,80216234,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,Minimal,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,42
-79.568614,43.746237,80216235,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,43
-79.568614,43.746237,80216236,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,44
-79.568614,43.746237,80216237,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,45
-79.568614,43.746237,80216238,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,46
-79.568614,43.746237,80216239,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,47
-79.568614,43.746237,80216240,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,48
-79.568614,43.746237,80216241,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,49
-79.568614,43.746237,80216242,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,50
-79.568614,43.746237,80216243,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,51
-79.568614,43.746237,80216244,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,52
-79.568614,43.746237,80216245,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,53
-79.568614,43.746237,80216246,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,54
-79.568614,43.746237,80216247,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,55
-79.568614,43.746237,80216248,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,56
-79.568614,43.746237,80216249,4002717713,2014,2014-08-17T04:00:00.000Z,51,0,FINCH AVENUE WEST,ISLINGTON AVENUE, ,Major Arterial,Etobicoke York,43.746237,-79.568614,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,55 to 59,None,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"23,31",,,3,,57
-79.442981,43.650614,80632243,6001735682,2016,2016-09-30T04:00:00.000Z,52,0,DUNDAS ST W,STERLING RD, ,Minor Arterial,Toronto and East York,43.650614,-79.442981,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,15 to 19,None,0,South,"Automobile, Station Wagon",Turning Left,Disobeyed Traffic Control,Inattentive, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,11,,,84,,58
